vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
葉書,はがき,postcard,noun,葉書[はがき],家族に葉書を書いています。,I'm writing a postcard to my family.,家族[かぞく]に<b> 葉書[はがき]</b>を 書[か]いています。,葉書,0
のり,のり,"glue, starch",noun,のり,のりで２枚の紙を貼り合わせた。,I glued two sheets of paper together.,<b>のり</b>で２ 枚[まい]の 紙[かみ]を 貼[は]り 合[あ]わせた。,糊,2
吸う,すう,"inhale, suck",verb,吸[す]う,彼は大きく息を吸った。,He took a deep breath.,彼[かれ]は 大[おお]きく 息[いき]を<b> 吸[す]った</b>。,吸う,0
胃,い,stomach,noun,胃[い],昨日から胃が痛い。,I've had a stomach ache since yesterday.,昨日[きのう]から<b> 胃[い]</b>が 痛[いた]い。,胃,0
血,ち,blood (colloquial),noun,血[ち],血が出ていますよ。,You're bleeding.,<b> 血[ち]</b>が 出[で]ていますよ。,血,0
内容,ないよう,content,noun,内容[ないよう],この本の内容を説明してください。,Please explain the content of this book.,この 本[ほん]の<b> 内容[ないよう]</b>を 説明[せつめい]してください。,内容,0
バスケットボール,ばすけっとぼーる,basketball,noun,バスケットボール,姉はバスケットボールの選手です。,My big sister's a basketball player.,姉[あね]は<b>バスケットボール</b>の 選手[せんしゅ]です。,バスケットボール,6
背景,はいけい,"background, backdrop",noun,背景[はいけい],事件の背景に何があったのだろう。,I wonder what was behind the incident.,事件[じけん]の<b> 背景[はいけい]</b>に 何[なに]があったのだろう。,背景,0
背中,せなか,(one's) back,noun,背中[せなか],背中がかゆい。,My back itches.,<b> 背中[せなか]</b>がかゆい。,背中,0
骨,ほね,bone,noun,骨[ほね],彼は足の骨を折りました。,He broke a bone in his foot.,彼[かれ]は 足[あし]の<b> 骨[ほね]</b>を 折[お]りました。,骨,2
どきどき,どきどき,"feel excited, feel nervous",adverb,どきどき,彼女に会うとどきどきします。,I feel nervous when I see her.,彼女[かのじょ]に 会[あ]うと<b>どきどき</b>します。,どきどき,1
滑る,すべる,"slide, slip",verb,滑[すべ]る,彼は雪の上を滑った。,He slipped on the snow.,彼[かれ]は 雪[ゆき]の 上[うえ]を<b> 滑[すべ]った</b>。,滑る,2
折れる,おれる,"break, snap",verb,折[お]れる,強風で木の枝が折れた。,A tree branch broke in the strong wind.,強風[きょうふう]で 木[き]の 枝[えだ]が<b> 折[お]れた</b>。,折れる,2
折る,おる,"break (something), fold (something)",verb,折[お]る,祖父は足の骨を折りました。,My grandfather broke a bone in his foot.,祖父[そふ]は 足[あし]の 骨[ほね]を<b> 折[お]りました</b>。,折る,1
再来年,さらいねん,the year after next,noun,再来年[さらいねん],次のオリンピックは再来年です。,The next Olympics will be held the year after next.,次[つぎ]のオリンピックは<b> 再来年[さらいねん]</b>です。,再来年,0
サンドイッチ,さんどいっち,sandwich,noun,サンドイッチ,今日のお昼はサンドイッチです。,We're having sandwiches for lunch.,今日[きょう]のお 昼[ひる]は<b>サンドイッチ</b>です。,サンドイッチ,4
再会,さいかい,"meeting again, reunion",verbal noun,再会[さいかい],彼らは互いに再会を喜んだの。,They were both very happy to see each other again.,彼[かれ]らは 互[たが]いに<b> 再会[さいかい]</b>を 喜[よろこ]んだの。,再会,0
再び,ふたたび,"again, a second time",adverb,再[ふたた]び,彼は再びここに戻ってきた。,He came back here once again.,彼[かれ]は<b> 再[ふたた]び</b>ここに 戻[もど]ってきた。,再び,0
再来月,さらいげつ,the month after next,noun,再来月[さらいげつ],再来月まで予約でいっぱいです。,We're fully booked until the month after the next.,<b> 再来月[さらいげつ]</b>まで 予約[よやく]でいっぱいです。,再来月,0 2
にこにこ,にこにこ,smile,adverb,にこにこ,彼女はいつもにこにこしています。,She's always smiling.,彼女[かのじょ]はいつも<b>にこにこ</b>しています。,にこにこ,1
放送,ほうそう,broadcasting,verbal noun,放送[ほうそう],その番組は来週放送されます。,The program will be broadcast next week.,その 番組[ばんぐみ]は 来週[らいしゅう]<b> 放送[ほうそう]</b>されます。,放送,0
仮名,かな,kana,noun,仮名[かな],お名前に仮名を振ってください。,Please write the pronunciation of your name in kana.,お 名前[なまえ]に<b> 仮名[かな]</b>を 振[ふ]ってください。,仮名,0
鏡,かがみ,mirror,noun,鏡[かがみ],彼女は鏡を見て髪を直した。,She looked in the mirror and fixed her hair.,彼女[かのじょ]は<b> 鏡[かがみ]</b>を 見[み]て 髪[かみ]を 直[なお]した。,鏡,3
悲しむ,かなしむ,"feel sad, lament",verb,悲[かな]しむ,父は友だちの死を悲しんでいます。,My father is grieving for his friend's death.,父[ちち]は 友[とも]だちの 死[し]を<b> 悲[かな]しんで</b>います。,悲しむ,3
ウール,うーる,wool,noun,ウール,このウールのセーターは暖かい。,This wool sweater is warm.,この<b>ウール</b>のセーターは 暖[あたた]かい。,ウール,1
美術館,びじゅつかん,art museum,noun,美術館[びじゅつかん],昨日、美術館に行きました。,I went to the museum yesterday.,昨日[きのう]、<b> 美術館[びじゅつかん]</b>に 行[い]きました。,美術館,3
美人,びじん,beautiful woman,noun,美人[びじん],彼のお母さんは美人です。,His mother's a beautiful woman.,彼[かれ]のお 母[かあ]さんは<b> 美人[びじん]</b>です。,美人,1 0
美容院,びよういん,hair salon,noun,美容院[びよういん],父は美容院で髪を切ります。,My father has his hair cut at a hair salon.,父[ちち]は<b> 美容[びよう] 院[いん]</b>で 髪[かみ]を 切[き]ります。,美容院,2
博物館,はくぶつかん,museum,noun,博物館[はくぶつかん],昨日、車の博物館に行った。,I went to the car museum yesterday.,昨日[きのう]、 車[くるま]の<b> 博物館[はくぶつかん]</b>に 行[い]った。,博物館,4
コーラ,こーら,"cola, coke",noun,コーラ,私の兄はコーラが好きだ。,My older brother likes cola.,私[わたし]の 兄[あに]は<b>コーラ</b>が 好[す]きだ。,コーラ,1
免許証,めんきょしょう,license,noun,免許証[めんきょしょう],免許証を見せてください。,Please show me your license.,<b> 免許[めんきょ] 証[しょう]</b>を 見[み]せてください。,免許証,0
伝言,でんごん,message,verbal noun,伝言[でんごん],課長から伝言があります。,There's a message from the section chief.,課長[かちょう]から<b> 伝言[でんごん]</b>があります。,伝言,0
鳴る,なる,"sound, ring",verb,鳴[な]る,今朝、５時に電話が鳴った。,The phone rang at five o'clock this morning.,今朝[けさ]、５ 時[じ]に 電話[でんわ]が<b> 鳴[な]った</b>。,鳴る,0
トイレットペーパー,といれっとぺーぱー,toilet paper,noun,トイレットペーパー,トイレットペーパーを交換しました。,I changed the toilet paper.,<b>トイレットペーパー</b>を 交換[こうかん]しました。,トイレットペーパー,6
鳴く,なく,"sing, cry (of animals)",verb,鳴[な]く,どこかでネコが鳴いている。,A cat is meowing somewhere.,どこかでネコが<b> 鳴[な]いて</b>いる。,鳴く,0
卵,たまご,egg,noun,卵[たまご],ニワトリは卵を産みます。,Chickens lay eggs.,ニワトリは<b> 卵[たまご]</b>を 産[う]みます。,卵,2 0
駐車場,ちゅうしゃじょう,"parking area, parking lot",noun,駐車場[ちゅうしゃじょう],車は駐車場に止めてください。,Please park your car in the parking lot.,車[くるま]は<b> 駐車[ちゅうしゃ] 場[じょう]</b>に 止[と]めてください。,駐車場,0
騒ぐ,さわぐ,"make a noise, make a racket",verb,騒[さわ]ぐ,電車の中で騒がないでください。,Please don't make a racket in the train.,電車[でんしゃ]の 中[なか]で<b> 騒[さわ]がないで</b>ください。,騒ぐ,2
ハム,はむ,ham,noun,ハム,ハムサンドをください。,"Can I have a ham sandwich, please?",<b>ハム</b>サンドをください。,ハム,1
刺す,さす,"sting, stab",verb,刺[さ]す,虫に腕を刺されました。,I got an insect bite on my arm.,虫[むし]に 腕[うで]を<b> 刺[さ]されました</b>。,刺す,1
刺身,さしみ,sliced raw fish or meat,noun,刺身[さしみ],私は刺身は食べません。,I don't eat sashimi.,私[わたし]は<b> 刺身[さしみ]</b>は 食[た]べません。,刺身,3
激しい,はげしい,"violent, intense",adjective,激[はげ]しい,激しい雨が降っています。,It's raining heavily.,<b> 激[はげ]しい</b> 雨[あめ]が 降[ふ]っています。,激しい,3
いちご,いちご,strawberry,noun,いちご,このいちごはとても甘い。,This strawberry is very sweet.,この<b>いちご</b>はとても 甘[あま]い。,苺,2;0 1
倒す,たおす,"knock down, overthrow",verb,倒[たお]す,そのスキーヤーはポールを倒した。,The skier knocked the pole down.,そのスキーヤーはポールを<b> 倒[たお]した</b>。,倒す,2
面倒,めんどう,"troublesome, difficult",adjectival noun,面倒[めんどう],会社で面倒なことが起こったの。,There was some trouble at the office.,会社[かいしゃ]で<b> 面倒[めんどう]</b>なことが 起[お]こったの。,面倒,3
柔らか,やわらか,"soft, gentle",adjectival noun,柔[やわ]らか,彼の声は柔らかだ。,His voice is soft.,彼[かれ]の 声[こえ]は<b> 柔[やわ]らか</b>だ。,柔らか,3 4
柔らかい,やわらかい,"soft, gentle",adjective,柔[やわ]らかい,柔らかい日差しが気持ちいいね。,Soft sunlight feels pleasant.,<b> 柔[やわ]らかい</b> 日差[ひざ]しが 気持[きも]ちいいね。,柔らかい,4
カレーライス,かれーらいす,curry rice,noun,カレーライス,子供はカレーライスが好きです。,Kids like curry and rice.,子供[こども]は<b>カレーライス</b>が 好[す]きです。,カレーライス,4
引っ張る,ひっぱる,"pull, drag",verb,引[ひ]っ張[ぱ]る,娘が私の手を引っ張った。,My daughter tugged on my hand.,娘[むすめ]が 私[わたし]の 手[て]を<b> 引[ひ]っ 張[ぱ]った</b>。,引っ張る,3
緊張,きんちょう,"tension, strain",verbal noun,緊張[きんちょう],彼は緊張していたな。,He was nervous.,彼[かれ]は<b> 緊張[きんちょう]</b>していたな。,緊張,0
出張,しゅっちょう,business trip,verbal noun,出張[しゅっちょう],部長は京都に出張中です。,The manager is on a business trip to Kyoto.,部長[ぶちょう]は 京都[きょうと]に<b> 出張[しゅっちょう]</b> 中[ちゅう]です。,出張,0
キャッシュカード,きゃっしゅかーど,cash card,noun,キャッシュカード,キャッシュカードでお金を下ろした。,I withdrew some money with my cash card.,<b>キャッシュカード</b>でお 金[かね]を 下[お]ろした。,キャッシュカード,4
突き当たる,つきあたる,"run into, come to the end (of a road)",verb,突[つ]き当[あ]たる,突き当たったら右に曲がってください。,Please turn right when the street ends.,<b> 突[つ]き 当[あ]たったら</b> 右[みぎ]に 曲[ま]がってください。,突き当たる,4
突き当たり,つきあたり,end of a street,noun,突[つ]き当[あ]たり,この先は突き当たりです。,You'll hit the end of the road.,この 先[さき]は<b> 突[つ]き 当[あ]たり</b>です。,突き当たり,0
弾く,ひく,play (instruments),verb,弾[ひ]く,彼はギターを弾きます。,He plays the guitar.,彼[かれ]はギターを<b> 弾[ひ]きます</b>。,弾く,0
丸い,まるい,round,adjective,丸[まる]い,地球は丸い。,The earth is round.,地球[ちきゅう]は<b> 丸[まる]い</b>。,丸い,0 2
ぐらぐら,ぐらぐら,"shaky, unstable",adverb,ぐらぐら,地震で家がぐらぐらと揺れた。,The house shook because of the earthquake.,地震[じしん]で 家[いえ]が<b>ぐらぐら</b>と 揺[ゆ]れた。,ぐらぐら,
丸,まる,"circle, round",noun,丸[まる],紙に大きな丸を描きました。,I drew a big circle on the paper.,紙[かみ]に 大[おお]きな<b> 丸[まる]</b>を 描[か]きました。,丸,
絶対,ぜったい,"absolutely, never",adverb,絶対[ぜったい],そんなことは絶対できないよ。,I can never ever do such a thing.,そんなことは<b> 絶対[ぜったい]</b>できないよ。,絶対,0
機嫌,きげん,"mood, health",noun,機嫌[きげん],彼女は大変機嫌がいいね。,She is in a very good mood.,彼女[かのじょ]は 大変[たいへん]<b> 機嫌[きげん]</b>がいいね。,機嫌,0
